epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,798.216,1.36267,0.91436,1.74265,0.92293,0.85817,0.94937,0.55936,1.47967,0.76994,1.96159,0.007921,0.007921,0.007921
44,816.577,1.36313,0.90211,1.74147,0.92258,0.89902,0.94645,0.54757,1.49992,0.76781,1.98089,0.0078715,0.0078715,0.0078715
45,834.674,1.35018,0.90565,1.73646,0.93756,0.86971,0.94873,0.56317,1.52112,0.76581,1.98554,0.007822,0.007822,0.007822
46,853.018,1.35741,0.88374,1.74544,0.85762,0.91531,0.94558,0.5643,1.47451,0.73749,1.96982,0.0077725,0.0077725,0.0077725
47,871.3,1.33079,0.89321,1.72173,0.90801,0.90027,0.94528,0.55615,1.45285,0.76151,1.94403,0.007723,0.007723,0.007723
48,890.01,1.30241,0.8553,1.7004,0.88314,0.91085,0.95194,0.56512,1.45352,0.69125,1.91846,0.0076735,0.0076735,0.0076735
49,908.497,1.31874,0.87825,1.71002,0.90897,0.91205,0.95056,0.57206,1.49364,0.68163,1.96647,0.007624,0.007624,0.007624
50,926.886,1.31557,0.85906,1.69983,0.8851,0.9316,0.95826,0.5703,1.43178,0.71531,1.89235,0.0075745,0.0075745,0.0075745
51,945.207,1.31855,0.85586,1.69157,0.90356,0.92182,0.95558,0.56272,1.48568,0.70128,1.95321,0.007525,0.007525,0.007525
52,963.508,1.29824,0.82904,1.68331,0.91181,0.90932,0.95424,0.57222,1.46581,0.74677,1.91938,0.0074755,0.0074755,0.0074755
53,981.735,1.2828,0.83795,1.67624,0.91956,0.8937,0.9573,0.56471,1.47243,0.72159,1.91728,0.007426,0.007426,0.007426
54,999.932,1.27062,0.81965,1.65728,0.89956,0.9044,0.94567,0.57666,1.4329,0.7362,1.88483,0.0073765,0.0073765,0.0073765
55,1018.21,1.27764,0.81501,1.66311,0.91264,0.89251,0.94416,0.57181,1.43973,0.70354,1.90097,0.007327,0.007327,0.007327
56,1036.42,1.26065,0.80402,1.65171,0.94071,0.90879,0.96022,0.57046,1.46823,0.73605,1.95185,0.0072775,0.0072775,0.0072775
57,1054.62,1.27889,0.81338,1.65173,0.90952,0.88403,0.95214,0.58385,1.41327,0.72135,1.86828,0.007228,0.007228,0.007228
58,1072.96,1.24409,0.78073,1.6421,0.91539,0.9163,0.95953,0.58423,1.39736,0.67595,1.86264,0.0071785,0.0071785,0.0071785
59,1091.19,1.24522,0.78556,1.63551,0.91587,0.92195,0.95937,0.57425,1.47311,0.68837,1.93331,0.007129,0.007129,0.007129
60,1109.46,1.24818,0.78288,1.64351,0.91012,0.91205,0.95679,0.58171,1.41805,0.70428,1.88786,0.0070795,0.0070795,0.0070795
61,1127.93,1.24688,0.77217,1.64533,0.92029,0.93485,0.96354,0.58848,1.43922,0.66142,1.90399,0.00703,0.00703,0.00703
62,1146.3,1.2309,0.75862,1.62165,0.92374,0.94692,0.96594,0.58898,1.43716,0.65203,1.89044,0.0069805,0.0069805,0.0069805
63,1164.61,1.24278,0.78077,1.62774,0.92248,0.89902,0.95869,0.59337,1.4085,0.68896,1.88791,0.006931,0.006931,0.006931
64,1182.87,1.22892,0.75409,1.61465,0.94357,0.91205,0.96566,0.60117,1.41742,0.647,1.86315,0.0068815,0.0068815,0.0068815
